,Ref,Address,Description,DecDate,Link,RefusalReasons,DevType,docfragment,file_ext,filename,Decision,FromSearch,ToSearch,AppTypeFrag,Dev_Type
10,PA19/07953,6 Coolbeg Close Killigarth Looe Cornwall PL13 2FA,Application for works to trees to reduce heavy branches of Monterey Cypress tree.,2019-09-26,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PXM57RFG1FE00&activeTab=summary,The tree covered  by the Tree Presevation Order and subject to this application forms a valuable  contribution to the landscape and has high amenity value  for the area. The pruning  proposed  would have a detrimental impact  to said public amenity and to the health of the tree. Insufficient justification or arboricultural evidence has been given as to why the propoesd works  are necessary.  As such the application  should be refused.,,REFUSAL,pdf,PA19_07953-R1TPOZ_-_REFUSAL_NOTICE-4776138.pdf,Refusal one reason,2019-01-01,2019-12-31,,TPO applications
11,PA19/07889,The Barn At Rosecare Villa St Gennys Bude Cornwall EX23 0BG,Change of use from B1 office space of Osteopathic practice to C3 residential dwelling,2019-09-25,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PXIR3NFGFSS00&activeTab=summary,"The proposal,  given  its limited floor area, scale, materials and appearance, the building  is not considered appropriate to retain and re-use for residential purposes and results  in cramped residential accommodation which would not achieve a good standard of amenity for future  occupants. It also represents a more isolated dwelling  in the countryside and enhancement to the setting is not considered so overriding or to represent special circumstances which would overcome the harm identified. As such,  the proposal is contrary to Policies 7 and 12 of the Cornwall Local Plan Strategic Policies 2010-2030 (Adopted 22nd November 2016)  and the minimum floor area set out in the Technical housing  standards nationally described space standard, March 2015.",,REFUSAL,pdf,PA19_07889-R1FULZ_-_REFUSAL_NOTICE-4729581.pdf,Refusal one reason,2019-01-01,2019-12-31,,Changes of Use
12,PA19/07752,Highcroft Porkellis Helston Cornwall TR13 0LH,Lawful development certificate for a proposed new conservatory,2019-10-24,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PX9F8WFGHJI00&activeTab=summary,The proposed construction of the front extension does not constitute permitted development as it fails to comply with Class A.1 (e)(i) of Part 1 of the Town and Country Planning (General Permitted Development)(England) Order 2015 because it would be located on the principal elevation of the original dwellinghouse. Therefore a planning application is required to be submitted to the local planning authority.,,REFUSAL,pdf,PA19_07752-R1LDZ_-_LD__PROPOSED__REFUSAL_NOTICE-4726713.pdf,Refusal one reason,2019-01-01,2019-12-31,,
13,PA19/07778,Fairhaven Dobbin Close Trevone Padstow Cornwall PL28 8QS,Proposed extensions,2019-09-19,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PXAXQ9FG1OU00&activeTab=summary,"The garage and roof extensions  will by reason of their scale, massing, height and proximity to the southern boundary be dominating and overbearing features that will be oppressive to the outlook  and residential amenity of Keston  and Greystone.  In so doing the proposal does not represent good design  and causes conflict with Policy 12 and by extension policy 2 of the Cornwall  Local Plan Strategic Policies 2010-2030",,REFUSAL,pdf,PA19_07778-R1FULZ_-_REFUSAL_NOTICE-4775438.pdf,Refusal one reason,2019-01-01,2019-12-31,,Householder
14,PA19/07707,Land Adj To Valley View West End Townshend Hayle Cornwall TR27 6AQ,Proposed dwelling.,2019-09-05,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PX7N7GFGGD000&activeTab=summary,"By reason of the restricted size of the plot which will be predominantly covered by the footprint of the dwelling,  parking and turning areas, the proposal will represent a cramped, contrived form of development resulting in inadequate  outdoor  amenity space provision for future  occupiers.  Such development will result  in substandard living conditions for future residents and fails to promote health and well-being through good design and layout.  The proposal  is therefore contrary to policies 12 and 16 in the Cornwall Local Plan Strategic Policies  2010 - 2030, paragraph 127 in the National Planning Policy Framework 2019 and supplementary planning guidance in section 5.5 of the Cornwall Design Guide 2013.",,REFUSAL,pdf,PA19_07707-R1FULZ_-_REFUSAL_NOTICE-4702630.pdf,Refusal one reason,2019-01-01,2019-12-31,,Minor - Dwelling
15,PA19/07424,Land West Of Marlee Treburley Launceston Cornwall PL15 9NS,Application for Outline Planning Permission with some matters reserved for the erection of two dwellings (access only),2019-09-09,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PWONT4FGKN800&activeTab=summary,"The application site is considered to make a positive contribution  to the rural character and setting of the settlement of Treburley. The proposed development of the site would represent further incremental growth of the built form extending the existing  settlement into the countryside, eroding the rural character and appearance of the Area of Great  Landscape  Value. The benefits of the scheme do not outweigh  the development  plan position and the harm to the rural character of the area. The proposed  development is therefore considered to be contrary to policies  1, 2, 3, 7, 21 and 23 and saved policy ENV1  of the Cornwall Local Plan Strategic Policies  2010 - 2030 and guidance  contained  within paragraphs 8, 48, 79, 117 and 170 of the National Planning Policy Framework 2019.",,REFUSAL,pdf,PA19_07424-R1OUTZ_-_REFUSAL_NOTICE-4701133.pdf,Refusal one reason,2019-01-01,2019-12-31,,Minor - Dwelling
16,PA19/07377,Trebean Fore Street Madron TR20 8SH,"Removal of existing garage and store, construction of new garage, store and studio",2019-08-27,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PWMNJ7FGJ9F00&activeTab=summary,"In extending the footprint of the garage/store so as to be in close proximity to the terrace and in significantly increasing the eaves height,  ridge height, and massing of the building, the proposed development would appear as overly-domineering, out of character and harmful in the context of the adjacent historic terrace, and would  fail to preserve the character  and appearance  of the Conservation AreaThe proposed  works would  materially  reduce the existing visual quality and character  of the setting  of the historic terrace and streetscape, and would  be harmful  to the character and appearance of the Conservation  Area. The works are considered to raise design concerns that cause harm and that are not balanced  by other factors acting  in the public interest or benefit.The proposal is therefore  contrary  to Policy  12 (paragraphs 1a and 1b) and Policy  24 of the Cornwall Local Plan Strategic  Policies 2010-2030 (Adopted 22nd November 2016);  Sections 1, 2.6, 2.9, 4.9, 7.3, 7.4, 7.7 and 7.10 of the Cornwall Design Guide 2013; and paragraphs 124, 127-128,  130, 184, 185, 189, 190, 192, 193 and 196-197  of the National Planning Policy Framework.  The proposed development does not accord  with the local planning  authority's statutory duty under section  72 (1) of the Planning (Listed Buildings and Conservation Areas) Act 1990 because it would  not preserve or enhance the character and appearance  of the Conservation Area.",,REFUSAL,pdf,PA19_07377-R1FULZ_-_REFUSAL_NOTICE-4724357.pdf,Refusal one reason,2019-01-01,2019-12-31,,Householder
17,PA19/07273,Land West Of Busveal Farm Busveal Redruth Cornwall TR16 5HF,Proposed New Dwelling,2019-08-19,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PWHLKJFGFUJ00&activeTab=summary,"Paragraph 2.33 of the Cornwall Local Plan Strategic  Policies 2010-2030 defines open countryside as the area outside of the physical boundaries of existing settlements.   The site is outside the settlement of Busveal  and due to the site location  which does not have an existing  defining edge to the north would not constitute infill or rounding off. The development would cause  material harm by extending the built form into the open countryside.  The proposal is contrary to policies 1, 2, 3, 7, 12 and 23 of the Cornwall  Local Plan Strategic  Policies 2010-2030, Policy 1 of the Cornwall  Site Allocations Development Plan Document 2019 and paragraphs 8, 127 and 170 of the National  Planning Policy Framework 2019.",,REFUSAL,pdf,PA19_07273-R1FULZ_-_REFUSAL_NOTICE-4776409.pdf,Refusal one reason,2019-01-01,2019-12-31,,Householder
18,PA19/07261,3 Trenerth Cottages Hayle Road Leedstown TR27 6DG,Conservatory to the front of the property.,2019-08-21,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PWHEP0FGFP800&activeTab=summary,"Due to its design, scale,  and front location, the proposed  conservatory  would  introduce an incongruous non-traditional feature to a prominent elevation  of a dwelling  resulting in a development that would be of an inappropriate scale and character to its location generating harm to the setting  and appreciation of the World  Heritage Site. The development fails to take into account the historic context  of the application site and traditional vernacular and would therefore fail to preserve or enhance the appearance of the World Heritage Site. The proposed  development  would  result in less than substantial harm due to the scale of the proposed  development compared to that of the site and wider World  Heritage Site.  The public benefit arising from the provision of relatively minor building  works would  not outweigh  the harm to the designated  heritage asset. The proposed development is therefore contrary to Policies 1, 12 and 24 of the Cornwall  Local Plan Strategic  Policies 2010-2030 paragraphs 127, 130, 184, 192, 193, 195, and 197,  of the National  Planning Policy  Framework 2019, Policy HT4 Design of the Crowan Parish Neighbourhood  Development Plan 2017 -2030 successful at referendum 22 August 2019  and  Policies P3 and C7 of the West Devon Mining Landscape World Heritage Site Management Plan 2013-2018.",,REFUSAL,pdf,PA19_07261-R1FULZ_-_REFUSAL_NOTICE-4682773.pdf,Refusal one reason,2019-01-01,2019-12-31,,Householder
19,PA19/07307,Waters Edge Cottage Wheal Dream St Ives Cornwall TR26 1PR,Front Balcony,2019-08-29,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PWJ5L9FG1R900&activeTab=summary,"The proposed balcony, due to its design, scale, and location,  would be an incongruous  feature that would have a significant  detrimental impact upon the building itself,  the setting of nearby Listed  Buildings,  and the character and appearance of the Conservation  Area in general.  It is considered that when the front elevation  of the adjacent dwelling No.4 is viewed  in the context of the unspoiled front elevation of the adjacent dwelling  'Tregurtha' to the south, the detrimental impact  and erosion  of such works upon the character and appearance  of the locality are clearly demonstrated.  The proposal  would  introduce an incongruous, non-traditional feature  to the prominent front elevation  of a traditional dwelling  located within  a Conservation Area, which is considered unacceptable. The proposal is therefore contrary to Policy 24of the Cornwall Local Plan, paragraphs 2, 7, 8, 11, 30, 124, 127, 189-202 of the National  Planning Policy Framework 2019 and Policy BE4 of the St Ives Neighbourhood Plan (adopted  29th December 2016)With regard to Section 72 (1) of Planning (Listed Buildings and Conservation Areas) Act 1990 c.9, it is considered that the proposal does not preserve the character  or appearance of the Conservation Area. ",,REFUSAL,pdf,PA19_07307-R1FULZ_-_REFUSAL_NOTICE-4775605.pdf,Refusal one reason,2019-01-01,2019-12-31,,Householder
20,PA19/06797,Land Adjacent Myrtle Cottage Trewedna Water Perranwell Station Cornwall TR3 7PH,Proposed conversion of garage and workshop to residential dwelling,2019-09-09,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PVSY2MFGN2600&activeTab=summary,"The proposed dwelling,  by reason of its open countryside location detached  from any definable settlements, represents an unsustainable form of development in the countryside for which no special circumstances have been demonstrated.  By virtue of its design, in particular the significant increase  in height, the proposed  development would  increase the prominence of the built form in this location, harmfully urbanising the strong rural characteristics of this open and rural landscape.  The proposal therefore represents an undesirable and sporadic form of development in the countryside and, in the absence of any other material  considerations which  outweigh such harm,  the proposal is contrary to policies 1, 3, 7, 12 and 23 of the Cornwall  Local Plan Strategic  Policies 2010 - 2030, paragraphs 8, 79, 127 and 170 of the National Planning Policy Framework 2019 and policies  GQD1, GQD2,  H3, H4 and LL4 of the emerging Gwennap Neighbourhood Development  Plan 2019 - 2030.  ",,REFUSAL,pdf,PA19_06797-R1FULZ_-_REFUSAL_NOTICE-4757777.pdf,Refusal one reason,2019-01-01,2019-12-31,,Minor - Dwelling
21,PA19/06837,Long Island Trevillett Tintagel Cornwall PL34 0HL,Proposed extension to provide a garden room and utility room on ground floor and lounge on upper floor.,2019-08-13,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PVTMC2FG1R900&activeTab=summary,"The proposed extension and enlargement of the dwelling, by reason of the bulk and scale of the extension would dominate and be incongruous to the form, layout and ridge height of the exiting dwelling and is not considered to conserve the scenic beauty of the Area of Outstanding Natural Beauty or Heritage Coast. It is therefore considered to be contrary to Policy 12 and 23 of The Cornwall Local Plan Strategic Policies 2010 -2030 and paragraph 127 of the National Planning Policy Framework 2019.",,REFUSAL,pdf,PA19_06837-HULME_REFUSAL_NOTICE_APPEAL-4804739.pdf,Refusal one reason,2019-01-01,2019-12-31,,Householder
22,PA19/06492,Land South Of Lower Tregunnon Altarnun Launceston Cornwall,Provide base for and locate static mobile home for relative occupancy.,2019-07-26,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PV944RFG1OU00&activeTab=summary,"The proposed static  caravan to be used as annexe accommodation, by reason  of its separation (over 100m) from the principle dwelling,  position  outside of the principle dwellings curtilage and lack of clear justification represents a self-contained  residential unit in this open countryside  location. By reason  of its rural location outside  of a clearly defined settlement it does not round off or infill the settlement and visually  extends development into the countryside eroding the character  and appearance of this part of the Area of Great Landscape Value.  In the absence of any special  circumstances  to justify it, the proposal represents an unsustainable and sporadic  form of residential  development in the countryside and, in the absence of any other material considerations  which outweigh such harm, the proposal is contrary to Policies 1, 3, 7, 21, 23 and ENV1 of the Cornwall  Local Plan Strategic Policies  2010 - 2030 (November  2016)  and paragraphs 79 and 170 of the National  Planning  Policy Framework 2019.",,REFUSAL,pdf,PA19_06492-R1FULZ_-_REFUSAL_NOTICE-4640863.pdf,Refusal one reason,2019-01-01,2019-12-31,,Minor - Dwelling
23,PA19/06461,Land At Home Farm Trebarwith Road Delabole Cornwall,Outline application for the erection of one dwelling with all matters reserved,2019-08-21,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PV7A12FG1OU00&activeTab=summary,"In the absence  of an adequate, robust and detailed  noise assessment, which meets the requirements of BS4142:2014 and BS8233:2014,  the application  fails to demonstrate that the impact  of noise from the farm and other noise sources with insufficient detail of the proposed mitigation to determine  that the impact  on the proposed  dwelling would be acceptable. The proposal is therefore contrary to Policy 2 and 12 of The Cornwall  Local Plan Strategic Policies 2010-2030 and paragraph 127 and 182 of the National Planning Policy Framework 2019.",,REFUSAL,pdf,PA19_06461-R1FULZ_-_REFUSAL_NOTICE-4768839.pdf,Refusal one reason,2019-01-01,2019-12-31,,Minor - Dwelling
24,PA19/06342,Land East Of Otterham Park Otterham Camelford Cornwall PL32 9SL,"Outline planning permission with some matters reserved (appearance, landscaping, layout and scale reserved, access to be decided) for the erection of up to three dwellings",2019-07-31,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PV1V9AFGHKQ00&activeTab=summary,"The proposed development by reason of its open countryside character, located beyond the established settlement of Otterham Station, is considered to represent an undesirable form of residential development in the open countryside, the site is not considered  to constitute suitable 'infill' or 'rounding off' of the settlement  in this location and the site does not constitute previously development.  This development would result in encroachment  into the open countryside which would be harmful to the rural character and appearance of the locality.  The development is thereby contrary  to policies  2, 3, 21(a) and 23 (1) in the Cornwall Local Plan Strategic Policies  2010 - 2030, saved policy ENV1 in the North Cornwall Local Plan Part 1 and Part 2 (adopted  1999).  ",,REFUSAL,pdf,PA19_06342-R1OUTZ_-_REFUSAL_NOTICE-4705327.pdf,Refusal one reason,2019-01-01,2019-12-31,,Minor - Dwelling
25,PA19/06259,Gwel An Nans Tolgus Place Redruth Cornwall TR15 1BB,"Outline planning consent for the construction of dwelling with some matters reserved, except the point of access",2019-08-27,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PUW5RKFGMFO00&activeTab=summary,"Paragraph 2.33 of the Cornwall Local Plan Strategic  Policies 2010 - 2030 defines  open countryside as the area outside of the physical boundaries of existing settlements, where they have a clear form and shape. In this case, the application site is not considered  to comply with planning policies concerning new windfall residential development  in this area, and is therefore  considered to be situated in the countryside as opposed  to within the Redruth urban area. Furthermore, the site is considered to relate more closely in a physical  and visual sense to the surrounding  countryside rather than the urban area. The proposal is therefore considered to conflict with the aims and intentions  of policies 1, 2, 3, 7, 12 and 23 of the Cornwall  Local Plan Strategic Policies 2010 - 2030; Policy 1 of the Cornwall Site Allocations  Development  Plan Document;  and paragraphs 8, 127 and 170 of the National Planning Policy Framework 2019.",,REFUSAL,pdf,PA19_06259-R1OUTZ_-_REFUSAL_NOTICE-4749629.pdf,Refusal one reason,2019-01-01,2019-12-31,,Minor - Dwelling
26,PA19/06240,Land East Of Pentreath House Pentreath Lane The Lizard Cornwall TR12 7NX,Proposed development of two dwellings and associated works,2019-07-19,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PUVUITFGM6L00&activeTab=summary,"Due to the site's position in the countryside  beyond the established settlement  limits of The Lizard, it is not well related  to its physical  form and its development for housing would not constitute suitable 'infill' or 'rounding off' of the settlement  in this location.  The development  of this prominent and large gap for two dwellings,  which provides  an important landscape setting to the village,  would domesticate the existing largely rural character and result in significant built form and harmful  urban  encroachment where there presently is none.  It is contended this would be harmful  to the rural character and appearance of the locality  and would not conserve  or enhance the landscape character  and natural beauty of the Area of Outstanding Natural  Beauty (AONB) in this location.   The development  is thereby  contrary  to policies 1, 2, 3, 7, 12 and 23 in the Cornwall  Local Plan Strategic  Policies 2010 - 2030, Policy 1 in the Cornwall Site Allocations  Development Plan Document 2019 and paragraphs 127, 170 and 172 in the National  Planning Policy Framework 2019.",,REFUSAL,pdf,PA19_06240-R1FULZ_-_REFUSAL_NOTICE-4685444.pdf,Refusal one reason,2019-01-01,2019-12-31,,Minor - Dwelling
27,PA19/06450,Land North East Of Badgers Holt Nance Trink Cornwall,Outline planning permission with all matters reserved: New dwelling,2019-08-08,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PV6Z24FG1W400&activeTab=summary,"The site is an undeveloped  plot of land lying in the open-countryside  at Nance to the south of St Ives. Despite  lying in close proximity  to a small number of residential  properties it is clearly outside of any existing settlement. The proposal  for new open market residential  accommodation would thereby  conflict with policies 1 and 3 of the Cornwall Local Plan (2010-2030)  and with paragraph 8 of the NPPF (2019) which  seek to ensure that new development is sustainably located.  Furthermore, no special justification has been submitted in support of the application that might allow for its support under  policy 7 of the Cornwall Local Plan (2010-2030) or paragraph 79 of the NPPF (2019).",,REFUSAL,pdf,PA19_06450-R1OUTZ_-_REFUSAL_NOTICE-4644622.pdf,Refusal one reason,2019-01-01,2019-12-31,,Minor - Dwelling
