,index,Ref,Description,DecDate,RefusalReasons,Dev_Type,NDPs Referenced,CLPs Referenced,Perms Referenced,AONB Referenced,cleaned,checking col,Countryside & Character,Neighbours and amenties,Design / Character,Natural Environment,"AONB, Landscape & Appearance",Access,Space and amenities,Flooding and Drainage,Conservation & harm to Listed Buildings,Noise & Disturbance,Heritage and History,Affordable Housing
391,437,PA17/02315,Outline application with all matters reserved for the erection of a 4 bedroom dwelling,20/04/2017," 1 The proposed siting of a new dwelling in this location  is considered to be harmful by virtue of the loss of trees and green  space and the creation of a new access in the historic stone wall boundary wall, which are features which contribute positively to the setting of the listed building. The presence of a new dwelling in this location would erode the setting and undermine the primacy  of the grade II listed Boscundle Manor.  The proposal would therefore  fail to at least preserve  the setting of this listed building. Furthermore, the harm caused  to the setting  of the listed building  would not be outweighed by the public benefits of the proposal. The proposal is therefore  considered to conflict  with the aims and intentions of S66(1) of the Planning (Listed Buildings  and Conservation Areas) Act 1990; policies 2, 12 and 24 of the Cornwall Local Plan Strategic  Policies 2010 - 2030;  and paragraphs 127, 184, 192, 193, 194 and 196 of the National Planning Policy Framework 2019.",Minor - Dwelling,,Cornwall Local Plan,,,"['location', 'harmful', 'virtue', 'loss', 'green', 'space', 'creation', 'access', 'historic', 'stone', 'wall', 'boundary', 'wall', 'feature', 'contribute', 'poively', 'set', 'list', 'presence', 'location', 'erode', 'set', 'undermine', 'primacy', 'grade', 'list', 'boscundle', 'manor', 'fail', 'preserve', 'set', 'list', 'furthermore', 'harm', 'cause', 'set', 'list', 'outweigh', 'public', 'list', 'conservation', 'strategic']","['location', 'harmful', 'virtue', 'loss', 'green', 'space', 'creation', 'access', 'historic', 'stone', 'wall', 'boundary', 'wall', 'feature', 'contribute', 'poively', 'set', 'list', 'presence', 'location', 'erode', 'set', 'undermine', 'primacy', 'grade', 'list', 'boscundle', 'manor', 'fail', 'preserve', 'set', 'list', 'furthermore', 'harm', 'cause', 'set', 'list', 'outweigh', 'public', 'list', 'conservation', 'strategic']",,0.06711418926715851,,,,,0.15237174928188324,,0.7607391476631165,,,
392,438,PA20/00453,Construction of single storey dwelling,20/01/2020,"The proposal is located outside of any defined settlement, such that it is located  within the open countryside where new residential units are only permitted  in special circumstances; the proposed  development  does not represent rounding  off in accordance  with Policy 3 of the Cornwall Local Plan Strategic Policies 2010 to 2030 such that it is considered that the proposal does not comply with any of the special circumstances of policy 7 of the Cornwall  Local Plan Strategic Policies 2010 to 2030 and would harm the rural character of the area which is within an AONB; due to the proposed residential use and associated domestic paraphernalia and is therefore contrary to policies 1, 2, 3, 7, 12 and 23 of the Cornwall Local Plan Strategic  Policies 2010 - 2030 and paragraphs  8, 79, 127, 170 and 172 of the National Planning Policy Framework 2019.",Minor - Dwelling,,"Cornwall Local Plan Strategic Policies,Cornwall Local Plan",,AONB,"['locate', 'outside', 'define', 'locate', 'open', 'countryside', 'residential', 'units', 'special', 'round', 'accordance', 'comply', 'special', 'strategic', 'harm', 'rural', 'character', 'aonb', 'residential', 'associate', 'domestic', 'paraphernalia', 'strategic']","['locate', 'outside', 'define', 'locate', 'open', 'countryside', 'residential', 'units', 'special', 'round', 'accordance', 'comply', 'special', 'strategic', 'harm', 'rural', 'character', 'aonb', 'residential', 'associate', 'domestic', 'paraphernalia', 'strategic']",0.1828402280807495,,,,0.18434664607048035,,,,,,,
393,440,PA20/00362,Prior notification for the erection of a general purpose agricultural building to replace temporary structures.,15/01/2020,"With a proposed footprint  of 30m by 10m, and a ground to ridge height of 5.5m, the size of the building  is considered excessively large in this location.  Given  the large scale of the proposed agricultural building  together  with its siting which is in an elevated position within  the landscape, the development proposal  would dominate its setting and fail to conserve  the strong and distinctive characteristics  of this rural landscape. The proposed building  due to its siting, scale and external  appearance would have a harmful impact on the landscape and is therefore  considered to be in conflict with policies  1, 2, 12 and 23 of the Cornwall Local Plan Strategic Policies 2010 - 2030 and paragraphs 8, 127 and 170 of the National Planning Policy Framework 2019.",Notification - AF types - Bldgs/tracks,,Cornwall Local Plan Strategic Policies,,,"['footprint', 'grind', 'ridge', 'height', 'size', 'excessively', 'large', 'location', 'give', 'large', 'scale', 'agricultural', 'elevate', 'poion', 'landscape', 'dominate', 'set', 'fail', 'conserve', 'strong', 'distinctive', 'characteristics', 'rural', 'landscape', 'scale', 'external', 'appearance', 'harmful', 'landscape']","['footprint', 'grind', 'ridge', 'height', 'size', 'excessively', 'large', 'location', 'give', 'large', 'scale', 'agricultural', 'elevate', 'poion', 'landscape', 'dominate', 'set', 'fail', 'conserve', 'strong', 'distinctive', 'characteristics', 'rural', 'landscape', 'scale', 'external', 'appearance', 'harmful', 'landscape']",,,0.49355602264404297,,0.31501224637031555,,,,0.16309452056884766,,,
394,443,PA20/00018,"Conversion of outbuilding to dwelling house, together with erection of an extension and associated works",03/01/2020,"The proposed dwelling,  by reason of its open countryside location beyond  any settlement represents an unsustainable location, the appearance and scale of the existing building provides very limited  visual merit and is not considered to be appropriate to retain and the conversion  would not lead to an enhancement  to the site or the immediate setting, therefore the proposal would not accord  with the special circumstances for housing in the countryside.  The proposal would erode the natural landscape character of the wider AGLV. The proposal therefore represents  an undesirable form of residential development in the countryside which would not contribute to the achievement of sustainable development and in the absence of any other material considerations  which outweigh such harm, the proposal is contrary  to Policies 1, 2 (1.d),  3, 7 (3), 21 and 23 of the Cornwall Local Plan Strategic Policies  2010-2030.",Minor - Dwelling,,Cornwall Local Plan Strategic Policies,,,"['open', 'countryside', 'location', 'unsustainable', 'location', 'appearance', 'scale', 'exist', 'limit', 'visual', 'merit', 'appropriate', 'retain', 'conversion', 'lead', 'enhancement', 'immediate', 'set', 'accord', 'special', 'countryside', 'erode', 'natural', 'landscape', 'character', 'wider', 'aglv', 'undesirable', 'residential', 'countryside', 'contribute', 'achievement', 'sustainable', 'absence', 'material', 'ations', 'outweigh', 'harm']","['open', 'countryside', 'location', 'unsustainable', 'location', 'appearance', 'scale', 'exist', 'limit', 'visual', 'merit', 'appropriate', 'retain', 'conversion', 'lead', 'enhancement', 'immediate', 'set', 'accord', 'special', 'countryside', 'erode', 'natural', 'landscape', 'character', 'wider', 'aglv', 'undesirable', 'residential', 'countryside', 'contribute', 'achievement', 'sustainable', 'absence', 'material', 'ations', 'outweigh', 'harm']",,0.02897857315838337,,,0.33424869179725647,,,,,,,
395,445,PA19/11034,Removal of Section 106 Agreement in respect of decision PA02/00922/F dated 31.10.05 for the erection of two dwellings,16/12/2019,The local planning authority is satisfied  that the Planning Obligation will continue  to serve a useful planning  purpose because it ensures that the affordability  of the properties remain where there is a current need for such accommodation. The Planning Obligation therefore accords with Government guidance set out in Paragraph 56 of the National Planning Policy Framework 2019 and Planning  Practice Guidance.,Not required - S106/S52,,,,,"['authority', 'satisfy', 'obligation', 'continue', 'serve', 'useful', 'purpose', 'ensure', 'affordability', 'properties', 'remain', 'current', 'need', 'accommodation', 'obligation', 'accord', 'government', 'practice']","['authority', 'satisfy', 'obligation', 'continue', 'serve', 'useful', 'purpose', 'ensure', 'affordability', 'properties', 'remain', 'current', 'need', 'accommodation', 'obligation', 'accord', 'government', 'practice']",,,,,,,,0.28649628162384033,,,,
396,446,PA19/10919,Proposed garage and associated site works,07/01/2020,"The proposed garage, by reason of its scale and mass, in combination with its siting, will be a dominant structure and will over-develop the lower part of the site, resulting in an incongruous feature in the streetscene and failing to reflect local distinctiveness, contrary to Policy 12 (2) of the Cornwall Local Plan Strategic Policies 2010-2030,  emerging policies DG2 and DG4 of the Falmouth Neighbourhood Development  Plan 2019 to 2030 (Submission  Version 2019),  and paragraphs 124,127, and 130 of the National Planning Policy Framework 2019.",Householder,Falmouth Neighbourhood Development  Plan 2019 to 2030,Cornwall Local Plan Strategic Policies,,,"['garage', 'scale', 'mass', 'combination', 'dominant', 'structure', 'overdevelop', 'lower', 'incongruous', 'feature', 'stscene', 'fail', 'reflect', 'distinctiveness', 'emerge', 'submission', 'version']","['garage', 'scale', 'mass', 'combination', 'dominant', 'structure', 'overdevelop', 'lower', 'incongruous', 'feature', 'stscene', 'fail', 'reflect', 'distinctiveness', 'emerge', 'submission', 'version']",,,0.6644446849822998,0.10096167027950287,,0.0686366856098175,,,,,,0.06195716932415962
397,447,PA19/10777,"Construction of garage, store and studio as re-submission of PA19/07377.",16/01/2020,"In extending the footprint of the garage/store so as to be in close proximity to the terrace and in significantly increasing the eaves height,  ridge height, and massing of the building, the proposed development would appear as overly-domineering, out of character and harmful in the context of the adjacent historic terrace, and would  fail to preserve the character  and appearance  of the Conservation AreaThe proposed  works would  materially  reduce the existing visual quality and character  of the setting  of the historic terrace and streetscape, and would  be harmful  to the character and appearance of the Conservation  Area. The works are considered to raise design concerns that cause harm and that are not balanced  by other factors acting  in the public interest or benefit.The proposal is therefore  contrary  to Policy  12 (paragraphs 1a and 1b) and Policy  24 of the Cornwall Local Plan Strategic  Policies 2010-2030 (Adopted 22nd November 2016);  Sections 1, 2.6, 2.9, 4.9, 7.3, 7.4, 7.7 and 7.10 of the Cornwall Design Guide 2013; and paragraphs 124, 127-128,  130, 184, 185, 189, 190, 192, 193 and 196-197  of the National Planning Policy Framework.  The proposed development does not accord  with the local planning  authority's statutory duty under section  72 (1) of the Planning (Listed Buildings and Conservation Areas) Act 1990 because it would  not preserve or enhance the character and appearance  of the Conservation Area.",Householder,,Cornwall Local Plan,,,"['extend', 'footprint', 'garagestore', 'close', 'proximity', 'terrace', 'significantly', 'increase', 'eaves', 'height', 'ridge', 'height', 'mass', 'appear', 'character', 'harmful', 'context', 'adjacent', 'historic', 'terrace', 'fail', 'preserve', 'character', 'appearance', 'conservation', 'materially', 'reduce', 'exist', 'visual', 'quality', 'character', 'set', 'historic', 'terrace', 'stscape', 'harmful', 'character', 'appearance', 'conservation', 'design', 'concern', 'cause', 'harm', 'act', 'public', 'strategic', 'design', 'guide', 'accord', 'authoritys', 'statutory', 'duty', 'list', 'conservation', 'preserve', 'enhance', 'character', 'appearance', 'conservation']","['extend', 'footprint', 'garagestore', 'close', 'proximity', 'terrace', 'significantly', 'increase', 'eaves', 'height', 'ridge', 'height', 'mass', 'appear', 'character', 'harmful', 'context', 'adjacent', 'historic', 'terrace', 'fail', 'preserve', 'character', 'appearance', 'conservation', 'materially', 'reduce', 'exist', 'visual', 'quality', 'character', 'set', 'historic', 'terrace', 'stscape', 'harmful', 'character', 'appearance', 'conservation', 'design', 'concern', 'cause', 'harm', 'act', 'public', 'strategic', 'design', 'guide', 'accord', 'authoritys', 'statutory', 'duty', 'list', 'conservation', 'preserve', 'enhance', 'character', 'appearance', 'conservation']",,0.07138881087303162,0.22663268446922302,,,,,,0.6878107786178589,,,
398,449,PA19/10695,Change of use of land to residential garden,20/12/2019,"The proposed change of use and visible domestication of the site land would extend the settlement's existing  developed envelope further  into the open countryside  to the detriment of the appearance  and character of the rural landscape to which  the land currently contributes,  and could give rise to pressure for further development of the site which would not be justified. As such, the proposal fails to accord with the provisions,  aims and intentions of Policies 23, 22, 1, 2, 3 and 12 of the Cornwall  Local Plan Strategic Policies 2010-2030 and National  Planning Policy Framework 2019, with particular reference to paragraphs 7, 8, 170, 175 and 117.",Changes of Use,,,,,"['change', 'visible', 'domestication', 'extend', 'exist', 'develop', 'envelope', 'open', 'countryside', 'detriment', 'appearance', 'character', 'rural', 'landscape', 'currently', 'contribute', 'rise', 'pressure', 'justify', 'fail', 'accord', 'provision', 'strategic', 'frame', 'particular', 'reference']","['change', 'visible', 'domestication', 'extend', 'exist', 'develop', 'envelope', 'open', 'countryside', 'detriment', 'appearance', 'character', 'rural', 'landscape', 'currently', 'contribute', 'rise', 'pressure', 'justify', 'fail', 'accord', 'provision', 'strategic', 'frame', 'particular', 'reference']",0.055630479007959366,,,,,,,,,,0.13255055248737335,
399,450,PA19/10778,Prior notification for details of proposed agricultural building,16/12/2019,"The application  form and supporting information indicate that the building would  be used in part as a lambing  shed. The proposal  would thereby be used for the accommodation of livestock and be within 400m of a protected  building. As such the proposal would not constitute  agricultural permitted development  as it will fail to accord with Criterion (i), Class A, Part 6, Schedule 2 of the Town and Country  Planning (General Permitted Development) (England) Order 2015 (As Amended). The application  is therefore refused.",Prior Approval - AF2 type,,,,,"['support', 'indicate', 'lamb', 'shed', 'accommodation', 'livestock', 'protect', 'agricultural', 'fail', 'accord', 'criterion', 'class', 'schedule', 'country', 'general', 'england', 'order', 'amend', 'refuse']","['support', 'indicate', 'lamb', 'shed', 'accommodation', 'livestock', 'protect', 'agricultural', 'fail', 'accord', 'criterion', 'class', 'schedule', 'country', 'general', 'england', 'order', 'amend', 'refuse']",,,,,,,,,,,,
400,451,PA19/10674,"Extension of a farmhouse with an improved entrance elevation; a two story side extension to the west and a garage at the rear, north of the house with variation of condition 2 of decision PA18/08268 dated 05/11/2018",06/01/2020," 1 The proposed amendments to the approved development, by reason  of the addition of timber cladding and changes to window design,  would  fail to respect the character of the dwellinghouse and would be incongruous features that would harm the character and appearance of the surrounding area due to the prominent location of the dwelling. Therefore, the proposal is contrary  to Policies  1, 2 and 12 of The Cornwall Local Plan Strategic Policies 2010-2030 and Paragraphs 124, 127 and 130 of the National Planning Policy Framework 2019 and Section 2.9 and 7.8 of the Cornwall Design  Guide 2013.                                                                   ",Householder,,Cornwall Local Plan Strategic Policies,,,"['amendments', 'approve', 'addition', 'timber', 'cladding', 'change', 'window', 'design', 'fail', 'respect', 'character', 'incongruous', 'feature', 'harm', 'character', 'appearance', 'surround', 'prominent', 'location', 'design', 'guide']","['amendments', 'approve', 'addition', 'timber', 'cladding', 'change', 'window', 'design', 'fail', 'respect', 'character', 'incongruous', 'feature', 'harm', 'character', 'appearance', 'surround', 'prominent', 'location', 'design', 'guide']",,,0.7528486847877502,,,,,,0.11536972969770432,,,
401,453,PA19/10625,Conversion of Barn to Form Single Dwelling,06/12/2019,"The development  proposed  will significantly alter the utilitarian and functional appearance of this barn with its timber cladding and lack of fenestration that clearly relates to this rural landscape.  The building is not considered to be a suitably  constructed redundant rural building  that would  be considered appropriate to retain and its conversion to residential use would  clearly not lead to an enhancement  to the immediate setting on a site that is widely visible from the nearby  public highway.  The extensive glazing and raised balcony proposed in the conversion will fundamentally alter the perception of the building  such that it will be recognised as an incongruous residential form that will harm the strong rural characteristics  of this landscape of high scenic beauty and detract from the character and appearance of the adjoining approved development of residential barn conversions.  Given the inappropriate and unsustainable  form of new housing development in the countryside, the proposed development fails to conserve and enhance the landscape character and natural beauty  of the Cornwall  AONB  AONB in this location.  As such, it conflicts with policies 2, 7, 12, 23 and 27 in the Cornwall Local Plan Strategic Policies 2010 - 2030, paragraphs 8, 79, 103, 127, 130, 170 and 172 in the National Planning Policy Framework 2019 and policies MD9 and SCW8.04 in the Cornwall AONB Management Plan 2016-2021.",Minor - Dwelling,,Cornwall Local Plan Strategic Policies,,AONB,"['significantly', 'alter', 'utilitarian', 'functional', 'appearance', 'barn', 'timber', 'cladding', 'lack', 'fenestration', 'clearly', 'relate', 'rural', 'landscape', 'suitably', 'construct', 'redundant', 'rural', 'appropriate', 'retain', 'conversion', 'residential', 'clearly', 'lead', 'enhancement', 'immediate', 'set', 'widely', 'visible', 'nearby', 'public', 'highway', 'extensive', 'glaze', 'balcony', 'conversion', 'fundamentally', 'alter', 'perception', 'recognise', 'incongruous', 'residential', 'harm', 'strong', 'rural', 'characteristics', 'landscape', 'high', 'scenic', 'beauty', 'detract', 'character', 'appearance', 'adjoin', 'approve', 'residential', 'barn', 'conversions', 'give', 'inappropriate', 'unsustainable', 'countryside', 'fail', 'conserve', 'enhance', 'landscape', 'character', 'natural', 'beauty', 'aonb', 'aonb', 'location', 'aonb', 'management']","['significantly', 'alter', 'utilitarian', 'functional', 'appearance', 'barn', 'timber', 'cladding', 'lack', 'fenestration', 'clearly', 'relate', 'rural', 'landscape', 'suitably', 'construct', 'redundant', 'rural', 'appropriate', 'retain', 'conversion', 'residential', 'clearly', 'lead', 'enhancement', 'immediate', 'set', 'widely', 'visible', 'nearby', 'public', 'highway', 'extensive', 'glaze', 'balcony', 'conversion', 'fundamentally', 'alter', 'perception', 'recognise', 'incongruous', 'residential', 'harm', 'strong', 'rural', 'characteristics', 'landscape', 'high', 'scenic', 'beauty', 'detract', 'character', 'appearance', 'adjoin', 'approve', 'residential', 'barn', 'conversions', 'give', 'inappropriate', 'unsustainable', 'countryside', 'fail', 'conserve', 'enhance', 'landscape', 'character', 'natural', 'beauty', 'aonb', 'aonb', 'location', 'aonb', 'management']",,,,,0.9873329997062683,,,,,,,
402,454,PA19/10668,Outline Planning with some matters reserved for erection of a dwelling,09/01/2020,"The application  site is located  outside of the established and definable limits of St Breward, and does not represent infill or rounding  off as defined by Policy 3 of the Cornwall Local Plan Strategic  Policies 2010 - 2030. The site is considered to represent an undesirable  form of residential development in the open countryside.  By reason of the rural location of the site and its close physical relationship to the open moorland, residential development is considered to be detrimental to the landscape quality of this area that would erode  the landscape character of the wider AGLV. In the absence of any special circumstances to justify residential development in this context,  the proposal does not represent sustainable development  and would be contrary to policies 1, 2 (1.d), 3, 7, 12, 23 of the Cornwall Local Plan Strategic Policies  2010 - 2030, adopted November 2016.",Minor - Dwelling,,"Cornwall Local Plan Strategic Policies,Cornwall Local Plan",,,"['locate', 'outside', 'establish', 'definable', 'limit', 'breward', 'infill', 'round', 'define', 'strategic', 'undesirable', 'residential', 'open', 'countryside', 'rural', 'location', 'close', 'physical', 'relationship', 'open', 'moorland', 'residential', 'detrimental', 'landscape', 'quality', 'erode', 'landscape', 'character', 'wider', 'aglv', 'absence', 'special', 'residential', 'context', 'sustainable']","['locate', 'outside', 'establish', 'definable', 'limit', 'breward', 'infill', 'round', 'define', 'strategic', 'undesirable', 'residential', 'open', 'countryside', 'rural', 'location', 'close', 'physical', 'relationship', 'open', 'moorland', 'residential', 'detrimental', 'landscape', 'quality', 'erode', 'landscape', 'character', 'wider', 'aglv', 'absence', 'special', 'residential', 'context', 'sustainable']",,,,,,,,,,0.22947312891483307,,
403,456,PA19/10561,Prior Notification for an agricultural building to provide general agricultural storage,10/12/2019,"With a proposed footprint  of 30m by 18m, and a ground to ridge height of 6.7m, the size of the building  is considered excessively large in this location.  Given  the large scale of the proposed agricultural building  together  with its siting which is in an elevated position within  the landscape, the development proposal  would dominate its setting and fail to conserve  the strong and distinctive characteristics  of this sensitive and open landscape. As the area is designated as an Area of Great Landscape Value  and an AONB,  where the primary objective is to conserve and enhance the landscape, the identified harm is intensified. The proposed building due to its siting,  scale and external appearance would have a harmful impact on the landscape and is therefore considered to be in conflict with policies 1, 2, 12 and 23 of the Cornwall Local Plan Strategic  Policies 2010 - 2030 and paragraphs  8, 127, 170 and 172 of the National Planning Policy Framework 2019.",Notification - AF types - Bldgs/tracks,,Cornwall Local Plan,,AONB,"['footprint', 'grind', 'ridge', 'height', 'size', 'excessively', 'large', 'location', 'give', 'large', 'scale', 'agricultural', 'elevate', 'poion', 'landscape', 'dominate', 'set', 'fail', 'conserve', 'strong', 'distinctive', 'characteristics', 'senive', 'open', 'landscape', 'designate', 'great', 'landscape', 'value', 'aonb', 'primary', 'objective', 'conserve', 'enhance', 'landscape', 'identify', 'harm', 'intensify', 'scale', 'external', 'appearance', 'harmful', 'landscape', 'strategic']","['footprint', 'grind', 'ridge', 'height', 'size', 'excessively', 'large', 'location', 'give', 'large', 'scale', 'agricultural', 'elevate', 'poion', 'landscape', 'dominate', 'set', 'fail', 'conserve', 'strong', 'distinctive', 'characteristics', 'senive', 'open', 'landscape', 'designate', 'great', 'landscape', 'value', 'aonb', 'primary', 'objective', 'conserve', 'enhance', 'landscape', 'identify', 'harm', 'intensify', 'scale', 'external', 'appearance', 'harmful', 'landscape', 'strategic']",,,0.30305033922195435,,0.3236287236213684,,,,0.35442987084388733,,,
404,457,PA19/10409,Proposed extension above existing ground floor extension,03/12/2019,"The proposed extension, by reason of its 'top heavy' and dominant design, would fail to respect the host dwelling and would be an incongruous feature that would  harm the character and appearance  of this prominent location, which is adjacent to the Falmouth Conservation Area. The proposal is in conflict with Policies DG2, DG4, DG6 and DG8 of the emerging Falmouth Neighbourhood  Development Plan 2019-2030 (Submission Version July 2019), Policies 1, 2, 12, and 24 of the Cornwall  Local Plan Strategic  Policies  2010-2030, and Paragraphs 124, 127, 130 and 189-202 of the National  Planning Policy Framework 2019.",Householder,Falmouth Neighbourhood  Development Plan 2019-2030,,,,"['extension', 'heavy', 'dominant', 'design', 'fail', 'respect', 'host', 'incongruous', 'feature', 'harm', 'character', 'appearance', 'prominent', 'location', 'adjacent', 'falmouth', 'conservation', 'emerge', 'submission', 'version', 'strategic', 'frame']","['extension', 'heavy', 'dominant', 'design', 'fail', 'respect', 'host', 'incongruous', 'feature', 'harm', 'character', 'appearance', 'prominent', 'location', 'adjacent', 'falmouth', 'conservation', 'emerge', 'submission', 'version', 'strategic', 'frame']",,,0.5319413542747498,0.14127899706363678,,,,,0.22790145874023438,,,
405,458,PA19/10350,Proposed new dwelling in rear garden,04/12/2019,"The proposal would lead to a cramped form of development that would fail to provide continuity with the existing built form. The exisiting  generous sized plots with sizeable rear gardens,  particularly  to the west, are an important part of the character of the area and create  a sense of spaciousness.  The provision of a dwelling  within  this already  smaller sized garden would result in a cramped form of development which, together  with the existing property and remaining curtilage to serve it, would result in two properties which would fail to respect or enhance the character  or appearance of the area. The proposal would appear overly intense and at odds with the immediate surroundings and would fail to promote local distinctiveness, leading  to harm to the landscape character. As the area is designated as an Area of Great Landscape  Value, where the primary  objective is to conserve and enhance the landscape,  the identified harm is intensified.  The proposal is therefore in conflict  with policies 1, 2, 12 and 23 of the Cornwall Local Plan Strategic  Policies 2010 - 2030 and paragraphs 8, 127 and 170 of the National Planning Policy  Framework 2019.",Minor - Dwelling,,Cornwall Local Plan,,,"['lead', 'cramp', 'fail', 'continuity', 'exist', 'generous', 'size', 'plot', 'sizeable', 'rear', 'garden', 'particularly', 'west', 'important', 'character', 'create', 'sense', 'spaciousness', 'provision', 'smaller', 'size', 'garden', 'cramp', 'exist', 'property', 'remain', 'curtilage', 'serve', 'properties', 'fail', 'respect', 'enhance', 'character', 'appearance', 'appear', 'overly', 'intense', 'odds', 'immediate', 'surround', 'fail', 'promote', 'distinctiveness', 'lead', 'harm', 'landscape', 'character', 'designate', 'great', 'landscape', 'value', 'primary', 'objective', 'conserve', 'enhance', 'landscape', 'identify', 'harm', 'intensify', 'strategic', 'frame']","['lead', 'cramp', 'fail', 'continuity', 'exist', 'generous', 'size', 'plot', 'sizeable', 'rear', 'garden', 'particularly', 'west', 'important', 'character', 'create', 'sense', 'spaciousness', 'provision', 'smaller', 'size', 'garden', 'cramp', 'exist', 'property', 'remain', 'curtilage', 'serve', 'properties', 'fail', 'respect', 'enhance', 'character', 'appearance', 'appear', 'overly', 'intense', 'odds', 'immediate', 'surround', 'fail', 'promote', 'distinctiveness', 'lead', 'harm', 'landscape', 'character', 'designate', 'great', 'landscape', 'value', 'primary', 'objective', 'conserve', 'enhance', 'landscape', 'identify', 'harm', 'intensify', 'strategic', 'frame']",,,0.5512290000915527,,0.07954806089401245,,,,0.35551029443740845,,,
406,459,PA19/10194,Outline planning (with all matters reserved) for the construction of 2 dwellings,02/12/2019,"The application  site is clearly divorced from any settlement with poor accessibility to necessary daily services  and facilities which would perpetuate over reliance on the private vehicle  and unsustainable traffic movements.  In  the absence of any special circumstances  to justify  residential development in this rural location,  the proposal is not sustainable development and is contrary to Policies 1, 2,3, 7, 12, 21 and 23 of the Cornwall  Local Plan Strategic Policies 2010-2030 and paragraphs 91 102, 103, 110, 127, 148 and 150 of the National Planning Policy Framework.",Minor - Dwelling,,,,,"['clearly', 'divorce', 'poor', 'accessibility', 'necessary', 'daily', 'service', 'facilities', 'perpetuate', 'reliance', 'private', 'vehicle', 'unsustainable', 'traffic', 'movements', 'absence', 'special', 'residential', 'rural', 'location', 'sustainable', 'strategic']","['clearly', 'divorce', 'poor', 'accessibility', 'necessary', 'daily', 'service', 'facilities', 'perpetuate', 'reliance', 'private', 'vehicle', 'unsustainable', 'traffic', 'movements', 'absence', 'special', 'residential', 'rural', 'location', 'sustainable', 'strategic']",0.958695113658905,,,,,,,,,,,
407,461,PA19/10091,One pair of semi detached dwellings (no 1 and 2),09/12/2019,"The proposed development would  if permitted result  in an unduly  cramped site, which  would not represent the character or layout of the area and would  have an adverse impact on the residential amenity of occupants of the existing and proposed dwellings in terms of overlooking.    As a consequence the development is therefore contrary to policies 1, 2, 12,  13 of the Cornwall  Local Plan Strategic  Policies  2010-2030 and paragraph 127 and 130 of the National Planning Policy  Framework  2019.",Minor - Dwelling,,,,,"['unduly', 'cramp', 'character', 'layout', 'adverse', 'residential', 'amenity', 'occupants', 'exist', 'term', 'overlook', 'consequence', 'strategic', 'frame']","['unduly', 'cramp', 'character', 'layout', 'adverse', 'residential', 'amenity', 'occupants', 'exist', 'term', 'overlook', 'consequence', 'strategic', 'frame']",,0.1414167732000351,0.46863505244255066,,,,,,,0.33327555656433105,,
408,463,PA19/09805,Proposed Car Port (variation to previous design ),19/11/2019,"The proposed position of the car port towards the edge of the footway would be entirely at odds with the established pattern of development on both sides of Higher Lidden Road. The flat roofed car port would be a prominent and incongruous feature in the street scene by reason of its siting  and design and would  , if permitted, be significantly  harmful to the character and appearance of the area. The development is contrary to policies 1, 2 and 12 of the Cornwall Local Plan Strategic Policies 2010-2030 and paragraphs 8 and 127 of the National Planning policy  Framework  2019, and the refusal would also accord with paragraph 130 of the National  Planning Policy Framework 2019 due to poor design.",Householder,,Cornwall Local Plan Strategic Policies,,,"['poion', 'port', 'edge', 'footway', 'entirely', 'odds', 'establish', 'pattern', 'side', 'higher', 'lidden', 'road', 'flat', 'roof', 'port', 'prominent', 'incongruous', 'feature', 'scene', 'design', 'significantly', 'harmful', 'character', 'appearance', 'frame', 'refusal', 'accord', 'frame', 'poor', 'design']","['poion', 'port', 'edge', 'footway', 'entirely', 'odds', 'establish', 'pattern', 'side', 'higher', 'lidden', 'road', 'flat', 'roof', 'port', 'prominent', 'incongruous', 'feature', 'scene', 'design', 'significantly', 'harmful', 'character', 'appearance', 'frame', 'refusal', 'accord', 'frame', 'poor', 'design']",,,0.9693505764007568,,,,,,,,,
